mutation,TF,ferroptosis_genes
IDH1,PRRX2,"TLR4, ATM"
IDH1,IRF2,"TRIB2, CP, CYBB, WWTR1, ARF6, HSPA5, CTSB, ACSL3"
IDH1,SATB1,"RBMS1, TIMP1, DPP4, WWTR1, CTSB, STAT3, ALOX5"
IDH1,CEBPB,"TRIB2, EPAS1, CAV1, ACSL3, ARF6, TLR4, PRDX1, CP"
IDH1,SOX2,"IL6, CAV1, HMOX1, IL1B"
IDH1,STAT3,"PRKAA1, WWTR1, VDR, STAT3, ALOX5"
IDH1,MYCN,"ZEB1, FADS2"
,HSF1,"PARP1, FH, PTPN6, ALOX5"
IDH1,EGR1,"TRIB2, EPAS1, PTPN18, RBMS1, TIMP1, ARF6, ACSL3"
IDH1,ZEB1,"PTPN6, IL6, CTSB, ALOX5, IL1B"
IDH1,PBX1,"IL6, CAV1, IL1B"
,SMAD1,"TRIB2, CAV1, CIRBP, EGFR, ARF6, NCOA3, CP"
,SOX15,"TRIB2, ETV4, ACSL3"
,SPI1,"PTPN18, RBMS1, TIMP1, VDR, PRDX1, CP, CYBB, LGMN, PRKAA1, ACSL1, CTSB, ALOX5, ARF6, DPP4, PTPN6, PML, FTL, CAV1, FURIN, TLR4"
IDH1,HOXA11,"TRIB2, ETV4"
IDH1,ETV7,"CISD1, NCOA4"
IDH1,LEF1,"IL6, CAV1, IL1B"
IDH1,LHX1,"IL6, CAV1"
IDH1,LHX3,"IL6, CAV1, CP"
IDH1,NFATC4,"CAV1, CP"
IDH1,BPTF,"RBMS1, TIMP1"
,POU3F3,"G6PD, RBMS1, CA9, HSPA5, PANX1, IL1B, CAV1, WWTR1, IL6, ABCC1"
IDH1,ELF3,"LAMP2, SAT1, NUPR1, CP"
IDH1,SOX11,"PHF21A, FH, PARP1, BRPF1"
IDH1,CTCF,"PIK3CA, NEDD4"
IDH1,SOX3,"LAMP2, SAT1"
IDH1,SOX5,"VDR, SNX4, SCP2, ALOX5"
,SRF,"ISCU, GABARAPL2"
IDH1,ELF5,"CTSB, PTPN6, ALOX5"