,Programs,Regulons
0,0,99
1,0,114
2,0,138
3,0,175
4,0,209
5,0,248
6,0,258
7,0,276
8,0,294
9,0,349
10,0,357
11,0,375
12,0,418
13,0,445
14,0,648
15,0,848
16,0,991
17,0,1068
18,0,1100
19,0,1271
20,0,1300
21,0,1356
22,0,1517
23,0,1550
24,0,1660
25,0,1676
26,0,1813
27,0,1904
28,0,1925
29,0,1932
30,0,1980
31,0,2100
32,0,2113
33,0,2317
34,0,2348
35,0,2358
36,0,2452
37,0,2474
38,0,2498
39,0,2509
40,0,2539
41,0,2589
42,0,2687
43,0,2746
44,0,2825
45,0,2863
46,0,2982
47,0,3039
48,0,3069
49,0,3073
50,0,3090
51,0,3103
52,0,3120
53,0,3127
54,0,3133
55,0,3149
56,0,3152
57,0,3156
58,0,3161
59,0,3337
60,0,3577
61,1,12
62,1,167
63,1,362
64,1,385
65,1,582
66,1,632
67,1,683
68,1,856
69,1,980
70,1,1046
71,1,1073
72,1,1133
73,1,1170
74,1,1252
75,1,1279
76,1,1308
77,1,1331
78,1,1346
79,1,1495
80,1,1506
81,1,1651
82,1,1809
83,1,1818
84,1,1886
85,1,1912
86,1,2005
87,1,2053
88,1,2268
89,1,2309
90,1,2322
91,1,2333
92,1,2364
93,1,2438
94,1,2543
95,1,2612
96,1,2620
97,1,2762
98,1,2811
99,1,2954
100,1,3016
101,1,3037
102,1,3066
103,1,3107
104,1,3168
105,1,3264
106,1,3291
107,1,3379
108,1,3552
109,1,3563
110,1,3781
111,2,135
112,2,268
113,2,594
114,2,639
115,2,731
116,2,784
117,2,987
118,2,1151
119,2,1180
120,2,1216
121,2,1235
122,2,1282
123,2,1316
124,2,1538
125,2,1587
126,2,1665
127,2,1714
128,2,1801
129,2,1823
130,2,1844
131,2,1960
132,2,2014
133,2,2064
134,2,2187
135,2,2388
136,2,2424
137,2,2463
138,2,2600
139,2,2636
140,2,2664
141,2,2676
142,2,2700
143,2,2822
144,2,2854
145,2,2880
146,2,2902
147,2,2934
148,2,2956
149,2,2970
150,2,3239
151,2,3302
152,2,3333
153,2,3728
154,2,3745
155,3,118
156,3,162
157,3,179
158,3,197
159,3,358
160,3,378
161,3,420
162,3,510
163,3,578
164,3,700
165,3,998
166,3,1038
167,3,1085
168,3,1161
169,3,1305
170,3,1465
171,3,1486
172,3,1646
173,3,1729
174,3,1753
175,3,1831
176,3,1905
177,3,1995
178,3,2080
179,3,2210
180,3,2279
181,3,2287
182,3,2329
183,3,2430
184,3,2497
185,3,2587
186,3,2707
187,3,2758
188,3,2887
189,3,2965
190,3,3054
191,3,3135
192,3,3549
193,3,3558
194,3,3561
195,3,3570
196,3,3576
197,3,3580
198,4,117
199,4,155
200,4,174
201,4,252
202,4,259
203,4,298
204,4,359
205,4,371
206,4,397
207,4,419
208,4,449
209,4,737
210,4,1358
211,4,1389
212,4,1401
213,4,1518
214,4,1592
215,4,1608
216,4,1679
217,4,1829
218,4,1926
219,4,2123
220,4,2161
221,4,2305
222,4,2412
223,4,2456
224,4,2477
225,4,2500
226,4,2585
227,4,2767
228,4,2885
229,4,2943
230,4,3126
231,4,3134
232,4,3188
233,4,3345
234,4,3348
235,4,3364
236,4,3370
237,4,3373
238,4,3377
239,4,3626
240,5,89
241,5,98
242,5,151
243,5,178
244,5,213
245,5,233
246,5,280
247,5,295
248,5,361
249,5,376
250,5,401
251,5,448
252,5,466
253,5,817
254,5,1102
255,5,1284
256,5,1325
257,5,1411
258,5,1610
259,5,1760
260,5,1907
261,5,1999
262,5,2103
263,5,2127
264,5,2281
265,5,2323
266,5,2355
267,5,2590
268,5,2623
269,5,2688
270,5,2702
271,5,2742
272,5,2946
273,5,2961
274,5,2987
275,5,3007
276,5,3105
277,5,3150
278,5,3162
279,5,3548
280,5,3575
281,5,3579
282,6,106
283,6,142
284,6,216
285,6,217
286,6,241
287,6,300
288,6,379
289,6,450
290,6,629
291,6,649
292,6,671
293,6,704
294,6,1042
295,6,1048
296,6,1342
297,6,1487
298,6,1525
299,6,1681
300,6,1834
301,6,1911
302,6,1936
303,6,1985
304,6,1992
305,6,2056
306,6,2195
307,6,2266
308,6,2342
309,6,2480
310,6,2535
311,6,2549
312,6,2752
313,6,2761
314,6,3092
315,6,3123
316,6,3166
317,6,3174
318,6,3378
319,6,3493
320,6,3550
321,6,3792
322,7,86
323,7,93
324,7,97
325,7,108
326,7,112
327,7,137
328,7,158
329,7,173
330,7,192
331,7,203
332,7,207
333,7,228
334,7,232
335,7,246
336,7,254
337,7,257
338,7,275
339,7,290
340,7,315
341,7,326
342,7,343
343,7,350
344,7,356
345,7,370
346,7,395
347,7,413
348,7,438
349,7,444
350,7,1781
351,7,1876
352,7,1902
353,7,1923
354,7,2120
355,7,2400
356,7,3032
357,7,3371
358,8,23
359,8,296
360,8,301
361,8,309
362,8,344
363,8,355
364,8,380
365,8,388
366,8,617
367,8,920
368,8,947
369,8,952
370,8,960
371,8,962
372,8,1009
373,8,1049
374,8,1202
375,8,1233
376,8,1334
377,8,1402
378,8,1519
379,8,1622
380,8,1822
381,8,2042
382,8,2092
383,8,2132
384,8,2369
385,8,2552
386,8,3262
387,8,3266
388,8,3272
389,8,3641
390,8,3712
391,8,3773
392,8,3796
393,9,144
394,9,161
395,9,251
396,9,366
397,9,381
398,9,423
399,9,654
400,9,1128
401,9,1256
402,9,1287
403,9,1327
404,9,1413
405,9,1522
406,9,1837
407,9,1885
408,9,1908
409,9,2001
410,9,2102
411,9,2115
412,9,2705
413,9,3045
414,9,3219
415,9,3365
416,9,3368
417,9,3375
418,9,3551
419,9,3562
420,9,3603
421,9,3617
422,9,3700
423,9,3706
424,10,111
425,10,200
426,10,231
427,10,365
428,10,467
429,10,1422
430,10,1423
431,10,1425
432,10,1530
433,10,1581
434,10,1617
435,10,1776
436,10,2107
437,10,2108
438,10,2122
439,10,2241
440,10,2269
441,10,2344
442,10,2512
443,10,2749
444,10,3097
445,10,3138
446,10,3271
447,10,3303
448,10,3366
449,10,3390
450,10,3567
451,10,3607
452,10,3668
453,10,3758
454,11,149
455,11,353
456,11,1089
457,11,1107
458,11,1258
459,11,1309
460,11,1330
461,11,1421
462,11,1531
463,11,1730
464,11,1988
465,11,2007
466,11,2271
467,11,2280
468,11,2310
469,11,2483
470,11,2615
471,11,2754
472,11,2766
473,11,2953
474,11,3017
475,11,3034
476,11,3080
477,11,3320
478,11,3564
479,11,3574
480,11,3684
481,11,3686
482,12,61
483,12,249
484,12,553
485,12,651
486,12,667
487,12,1013
488,12,1119
489,12,1306
490,12,1381
491,12,2409
492,12,2431
493,12,2515
494,12,2529
495,12,2531
496,12,2830
497,12,2864
498,12,2940
499,12,3033
500,12,3180
501,12,3388
502,12,3481
503,12,3604
504,12,3606
505,12,3609
506,12,3611
507,13,123
508,13,150
509,13,185
510,13,224
511,13,369
512,13,406
513,13,431
514,13,457
515,13,709
516,13,867
517,13,1005
518,13,1314
519,13,1321
520,13,1451
521,13,1532
522,13,2454
523,13,2533
524,13,2546
525,13,2548
526,13,2604
527,13,2821
528,13,2955
529,13,3267
530,13,3572
531,13,3698
532,14,13
533,14,125
534,14,199
535,14,287
536,14,335
537,14,368
538,14,433
539,14,593
540,14,662
541,14,1124
542,14,1265
543,14,1291
544,14,1310
545,14,1475
546,14,1863
547,14,1915
548,14,2099
549,14,2220
550,14,2447
551,14,2608
552,14,2857
553,14,2968
554,14,3215
555,14,3468
556,14,3699
557,15,146
558,15,153
559,15,165
560,15,180
561,15,222
562,15,240
563,15,367
564,15,405
565,15,1289
566,15,1345
567,15,1527
568,15,1728
569,15,1970
570,15,2039
571,15,2101
572,15,2449
573,15,2501
574,15,2507
575,15,2541
576,15,2805
577,15,2949
578,15,3137
579,15,3293
580,15,3582
581,15,3776
582,16,152
583,16,227
584,16,455
585,16,961
586,16,1006
587,16,1047
588,16,1734
589,16,1756
590,16,1890
591,16,1918
592,16,2008
593,16,2043
594,16,2326
595,16,2351
596,16,2441
597,16,2679
598,16,2972
599,16,3051
600,16,3061
601,16,3143
602,16,3777
603,16,3789
604,17,212
605,17,794
606,17,1901
607,17,2356
608,17,2468
609,17,2667
610,17,2747
611,17,2798
612,17,2963
613,17,2989
614,17,2994
615,17,3006
616,17,3012
617,17,3030
618,17,3038
619,17,3063
620,17,3071
621,18,107
622,18,171
623,18,189
624,18,274
625,18,307
626,18,411
627,18,1091
628,18,1457
629,18,1732
630,18,1847
631,18,2489
632,18,2605
633,18,3028
634,18,3049
635,18,3093
636,18,3695
637,19,164
638,19,316
639,19,653
640,19,1269
641,19,1594
642,19,1755
643,19,1787
644,19,2786
645,19,2796
646,19,2810
647,19,2986
648,19,3058
649,19,3560
650,19,3605
651,20,821
652,20,1188
653,20,1219
654,20,1767
655,20,1807
656,20,1874
657,20,2011
658,20,2020
659,20,2203
660,20,2399
661,20,2815
662,20,2971
663,20,2981
664,21,196
665,21,332
666,21,383
667,21,1021
668,21,1684
669,21,1761
670,21,1981
671,21,1984
672,21,2312
673,21,3259
674,21,3319
675,21,3398
676,21,3754
677,22,352
678,22,1447
679,22,1680
680,22,1768
681,22,2478
682,22,2503
683,22,2945
684,22,3399
685,22,3404
686,22,3491
687,22,3509
688,22,3647
689,23,219
690,23,609
691,23,852
692,23,1414
693,23,1708
694,23,2055
695,23,2594
696,23,2674
697,23,2795
698,23,2947
699,23,3136
700,23,3630
701,24,170
702,24,1555
703,24,1880
704,24,1961
705,24,2185
706,24,2387
707,24,2735
708,24,2823
709,24,3068
710,24,3176
711,24,3394
712,24,3768
713,25,133
714,25,156
715,25,289
716,25,690
717,25,1443
718,25,2012
719,25,2595
720,25,2728
721,25,2856
722,25,3503
723,26,407
724,26,674
725,26,985
726,26,1054
727,26,1364
728,26,2678
729,26,2937
730,26,3327
731,26,3664
732,26,3722
733,27,24
734,27,72
735,27,96
736,27,387
737,27,560
738,27,1376
739,27,2464
740,27,2958
741,27,3043
742,27,3508
743,28,157
744,28,245
745,28,1895
746,28,2331
747,28,2601
748,28,2765
749,28,2781
750,28,3029
751,28,3131
752,28,3571
753,29,201
754,29,440
755,29,1459
756,29,1514
757,29,1820
758,29,2224
759,29,2402
760,29,2446
761,29,2837
762,30,154
763,30,1295
764,30,1715
765,30,1731
766,30,2343
767,30,2632
768,30,3070
769,30,3346
770,30,3726
771,31,183
772,31,896
773,31,1613
774,31,1744
775,31,2255
776,31,2712
777,31,2751
778,31,3296
779,31,3356
780,32,589
781,32,710
782,32,1231
783,32,1275
784,32,1534
785,32,2975
786,32,3111
787,32,3430
788,32,3652
789,33,733
790,33,1236
791,33,1537
792,33,2190
793,33,2606
794,33,2960
795,33,3569
796,33,3780
797,34,1546
798,34,2523
799,34,2760
800,34,2950
801,34,3274
802,34,3281
803,34,3401
804,35,29
805,35,134
806,35,663
807,35,2110
808,35,2448
809,35,3116
810,35,3382
811,36,2231
812,36,2391
813,36,2763
814,36,2790
815,36,2977
816,36,3588
817,37,1237
818,37,1509
819,37,1672
820,37,1898
821,37,2030
822,37,3696
823,38,159
824,38,462
825,38,575
826,38,625
827,38,650
828,38,698
829,38,759
830,38,767
831,38,871
832,38,968
833,38,993
834,38,1011
835,38,1016
836,38,1036
837,38,1095
838,38,1099
839,38,1144
840,38,1205
841,38,1210
842,38,1239
843,38,1301
844,38,1462
845,38,1551
846,38,1568
847,38,1590
848,38,1611
849,38,1736
850,38,1772
851,38,1830
852,38,1873
853,38,1875
854,38,1884
855,38,1938
856,38,1944
857,38,1996
858,38,2021
859,38,2032
860,38,2086
861,38,2125
862,38,2159
863,38,2260
864,38,2370
865,38,2383
866,38,2384
867,38,2394
868,38,2416
869,38,2453
870,38,2499
871,38,2655
872,38,2670
873,38,2685
874,38,2737
875,38,2738
876,38,2743
877,38,2745
878,38,2756
879,38,2768
880,38,2782
881,38,2797
882,38,2800
883,38,2801
884,38,2807
885,38,2814
886,38,2816
887,38,2828
888,38,2843
889,38,2861
890,38,2884
891,38,2908
892,38,2927
893,38,2938
894,38,2944
895,38,2962
896,38,3411
897,39,121
898,39,321
899,39,426
900,39,556
901,39,702
902,39,825
903,39,851
904,39,873
905,39,974
906,39,1018
907,39,1129
908,39,1166
909,39,1225
910,39,1253
911,39,1470
912,39,1490
913,39,1571
914,39,1597
915,39,1707
916,39,1790
917,39,2096
918,39,2105
919,39,2236
920,39,2289
921,39,2300
922,39,2362
923,39,2377
924,39,2418
925,39,2660
926,39,2690
927,39,2722
928,39,2817
929,39,2845
930,39,2914
931,39,2929
932,39,2964
933,39,3056
934,39,3292
935,39,3542
936,39,3623
937,39,3683
938,39,3697
939,40,50
940,40,417
941,40,579
942,40,600
943,40,735
944,40,1101
945,40,1179
946,40,1293
947,40,1326
948,40,1355
949,40,1363
950,40,1482
951,40,1536
952,40,1553
953,40,1941
954,40,1967
955,40,2371
956,40,2381
957,40,2385
958,40,2393
959,40,2408
960,40,2411
961,40,2417
962,40,2427
963,40,2428
964,40,2455
965,40,2582
966,40,2886
967,40,3195
968,40,3309
969,40,3386
970,40,3391
971,40,3397
972,40,3403
973,40,3414
974,40,3541
975,40,3546
976,40,3757
977,41,229
978,41,635
979,41,641
980,41,661
981,41,727
982,41,751
983,41,783
984,41,983
985,41,1138
986,41,1178
987,41,1181
988,41,1218
989,41,1234
990,41,1294
991,41,1416
992,41,1454
993,41,1481
994,41,1510
995,41,1561
996,41,1576
997,41,1798
998,41,1843
999,41,1916
1000,41,2027
1001,41,2112
1002,41,2202
1003,41,2218
1004,41,2296
1005,41,2465
1006,41,2849
1007,41,3707
1008,42,336
1009,42,880
1010,42,893
1011,42,911
1012,42,955
1013,42,1002
1014,42,1092
1015,42,1281
1016,42,1383
1017,42,1404
1018,42,1434
1019,42,1549
1020,42,1599
1021,42,1709
1022,42,1741
1023,42,1819
1024,42,2437
1025,42,2545
1026,42,2868
1027,42,2959
1028,42,3164
1029,42,3389
1030,42,3413
1031,42,3595
1032,42,3612
1033,42,3632
1034,42,3666
1035,42,3734
1036,42,3769
1037,43,109
1038,43,292
1039,43,437
1040,43,647
1041,43,666
1042,43,1183
1043,43,1323
1044,43,1340
1045,43,1407
1046,43,1771
1047,43,1784
1048,43,1812
1049,43,1828
1050,43,1840
1051,43,1848
1052,43,1883
1053,43,1900
1054,43,1924
1055,43,1942
1056,43,1950
1057,43,1963
1058,43,1994
1059,43,2018
1060,43,2031
1061,43,2617
1062,43,2922
1063,43,2933
1064,43,3658
1065,44,166
1066,44,218
1067,44,331
1068,44,354
1069,44,537
1070,44,655
1071,44,770
1072,44,1226
1073,44,1312
1074,44,1412
1075,44,1477
1076,44,1513
1077,44,1782
1078,44,1973
1079,44,2006
1080,44,2196
1081,44,2277
1082,44,2288
1083,44,2395
1084,44,2459
1085,44,2616
1086,44,2710
1087,44,2892
1088,44,3367
1089,44,3454
1090,44,3643
1091,44,3749
1092,45,266
1093,45,775
1094,45,857
1095,45,1152
1096,45,1263
1097,45,1496
1098,45,1659
1099,45,2041
1100,45,2058
1101,45,2200
1102,45,2389
1103,45,2521
1104,45,2614
1105,45,2694
1106,45,2872
1107,45,2932
1108,45,3085
1109,45,3216
1110,45,3341
1111,45,3357
1112,45,3543
1113,45,3554
1114,45,3724
1115,45,3763
1116,46,17
1117,46,80
1118,46,205
1119,46,480
1120,46,515
1121,46,610
1122,46,729
1123,46,754
1124,46,761
1125,46,874
1126,46,878
1127,46,912
1128,46,1196
1129,46,1524
1130,46,1582
1131,46,2311
1132,46,2542
1133,46,2720
1134,46,3122
1135,46,3155
1136,46,3424
1137,46,3444
1138,46,3525
1139,46,3770
1140,47,19
1141,47,26
1142,47,84
1143,47,479
1144,47,540
1145,47,935
1146,47,936
1147,47,938
1148,47,1117
1149,47,1215
1150,47,1406
1151,47,1596
1152,47,1893
1153,47,1939
1154,47,2072
1155,47,2320
1156,47,2772
1157,47,2876
1158,47,2980
1159,47,3183
1160,47,3494
1161,47,3517
1162,47,3651
1163,48,20
1164,48,265
1165,48,273
1166,48,306
1167,48,808
1168,48,831
1169,48,886
1170,48,917
1171,48,1112
1172,48,1141
1173,48,1232
1174,48,1657
1175,48,1780
1176,48,2024
1177,48,2138
1178,48,2170
1179,48,2228
1180,48,2366
1181,48,2653
1182,48,3221
1183,48,3688
1184,48,3720
1185,48,3744
1186,49,182
1187,49,223
1188,49,285
1189,49,633
1190,49,658
1191,49,745
1192,49,1104
1193,49,1148
1194,49,1418
1195,49,1544
1196,49,1725
1197,49,1887
1198,49,2197
1199,49,2293
1200,49,2461
1201,49,2691
1202,49,2948
1203,49,3249
1204,49,3395
1205,49,3497
1206,49,3669
1207,49,3779
1208,50,310
1209,50,752
1210,50,812
1211,50,1140
1212,50,1825
1213,50,1882
1214,50,1949
1215,50,2029
1216,50,2051
1217,50,2082
1218,50,2175
1219,50,2392
1220,50,2492
1221,50,2536
1222,50,2652
1223,50,2794
1224,50,3362
1225,50,3653
1226,51,247
1227,51,819
1228,51,872
1229,51,945
1230,51,969
1231,51,1012
1232,51,1393
1233,51,1424
1234,51,1485
1235,51,1677
1236,51,1716
1237,51,2278
1238,51,2319
1239,51,2332
1240,51,2336
1241,51,2340
1242,51,2347
1243,51,2357
1244,52,221
1245,52,264
1246,52,772
1247,52,954
1248,52,1110
1249,52,1472
1250,52,1565
1251,52,1879
1252,52,2004
1253,52,2149
1254,52,2386
1255,52,2820
1256,52,3283
1257,52,3594
1258,52,3764
1259,53,592
1260,53,941
1261,53,1153
1262,53,1262
1263,53,2153
1264,53,2520
1265,53,2527
1266,53,3099
1267,53,3288
1268,53,3596
1269,53,3624
1270,54,568
1271,54,756
1272,54,964
1273,54,1056
1274,54,1297
1275,54,1298
1276,54,2135
1277,54,2471
1278,54,3363
1279,55,424
1280,55,850
1281,55,1277
1282,55,1649
1283,55,2479
1284,55,3233
1285,55,3445
1286,55,3662
1287,56,230
1288,56,536
1289,56,832
1290,56,1156
1291,56,1501
1292,56,2407
1293,56,3439
1294,57,30
1295,57,55
1296,57,74
1297,57,76
1298,57,546
1299,57,550
1300,57,570
1301,57,571
1302,57,596
1303,57,621
1304,57,644
1305,57,645
1306,57,665
1307,57,677
1308,57,696
1309,57,717
1310,57,734
1311,57,758
1312,57,763
1313,57,765
1314,57,778
1315,57,790
1316,57,814
1317,57,818
1318,57,841
1319,57,846
1320,57,865
1321,57,868
1322,57,888
1323,57,903
1324,57,927
1325,57,943
1326,57,957
1327,57,965
1328,57,967
1329,57,990
1330,57,1010
1331,57,1135
1332,57,1139
1333,57,1341
1334,57,1390
1335,57,1435
1336,57,2139
1337,57,2565
1338,57,2575
1339,57,3004
1340,57,3314
1341,57,3355
1342,57,3628
1343,57,3717
1344,58,46
1345,58,303
1346,58,452
1347,58,707
1348,58,723
1349,58,741
1350,58,979
1351,58,1019
1352,58,1045
1353,58,1105
1354,58,1130
1355,58,1147
1356,58,1167
1357,58,1227
1358,58,1428
1359,58,1474
1360,58,1528
1361,58,1574
1362,58,1600
1363,58,1632
1364,58,1682
1365,58,1777
1366,58,1792
1367,58,1836
1368,58,1862
1369,58,1952
1370,58,2036
1371,58,2240
1372,58,2253
1373,58,2290
1374,58,2569
1375,58,2757
1376,58,2891
1377,58,3225
1378,58,3235
1379,58,3289
1380,58,3324
1381,58,3332
1382,58,3339
1383,58,3462
1384,58,3636
1385,58,3645
1386,58,3676
1387,58,3711
1388,58,3761
